,symbol,synonymSymbol,scientificNameWithAuthor,commonName,family
75000,RORU,,Rosa rugosa Thunb.,rugosa rose,Rosaceae
88145,TRCL2,,Trifolium clypeatum L.,shield clover,Fabaceae
66711,PLAR9,PLPUA,"Plantago purshii Roem. & Schult. var. argyraea (Morris) Poe, database artifact",,
54029,MEAL8,PAAL23,Parmelia albertana Ahti,,
55791,MILI3,OXGA2,Oxybaphus gausapoides (Standl.) Standl.,,
43529,HYUN,NAAF,Nama affinis (A. Gray) Kuntze,,
55825,MIMA4,,Minuartia macrocarpa (Pursh) Ostenf.,longpod stitchwort,Caryophyllaceae
47938,LEMO5,,Leucothrinax morrisii (H. Wendl.) C.Lewis & Zona,Key thatch palm,Arecaceae
44676,ISRIR,ISRIP,Isoetes riparia Engelm. ex A. Braun var. palmeri (A.A. Eaton) Proctor,,
66120,PIEN,,Picea engelmannii Parry ex Engelm.,Engelmann spruce,Pinaceae
89765,URDIH,URGRH,Urtica gracilis Aiton ssp. holosericea (Nutt.) W.A. Weber,,
75149,RUAC3,ACVU,Acetosella vulgaris Fourr.,,
92130,WEHE,,Weissia hedwigii H.A. Crum,Hedwig's weissia moss,Pottiaceae
85222,SYPH2,,Syzygospora physciacearum Diederich,,Syzygosporaceae
19676,CILI5,CILI,"Citrus limon (L.) Burm. f., database artifact",,
12683,CAAM18,CAAM6,Campanula americana L.,,
32564,EREX4,,Erigeron eximius Greene,sprucefir fleabane,Asteraceae
58986,OEMC,,Oenothera mckelveyae (Munz) W.L. Wagner & Hoch,Mckelvey's beeblossom,Onagraceae
32963,ERLAG,,Eriophyllum lanatum (Pursh) Forbes var. grandiflorum (A. Gray) Jeps.,common woolly sunflower,Asteraceae
55573,MIGO,MIUN3,Minuartia uniflora auct. non (Walter) Mattf.,,
54620,MENE8,,Melinis nerviglumis (Franch.) Zizka,,Poaceae
30756,ELMA3,ELPT,Elaphoglossum pteropus auct. non C. Chr.,,
2753,ALPO3,,Alphitonia ponderosa Hillebr.,Hawai'i kauilatree,Rhamnaceae
84324,STSA7,,Strophanthus sarmentosus DC.,strophanthus,Apocynaceae
73248,REDFI,,Redfieldia Vasey,blowout grass,Poaceae
62189,PEAM11,,Perityle ambrosiifolia Greene ex A. Powell & S.C. Yarborough,lace-leaved rockdaisy,Asteraceae
52170,LYAR2,,Lygodesmia arizonica S. Tomb,Arizona skeletonplant,Asteraceae
18827,CHNIP2,CHPAR,Chamaecrista patellaria (DC. ex Collad.) Greene var. ramosa (Vogel) Irwin & Barneby,,
70559,PRVIM,PRME2,Prunus melanocarpa (A. Nelson) Rydb.,,
85391,SYSI3,ASSI7,Aster simmondsii Small,,
41358,HESI,,Helianthus silphioides Nutt.,rosinweed sunflower,Asteraceae
10881,BOJE,,Botrychium jenmanii Underw.,Dixie grapefern,Ophioglossaceae
33160,ERMIS2,ERSI8,Eriogonum simpsonii Benth.,,
85418,SYSQ,ASSUA,Aster subulatus Michx. var. australis (A. Gray) Shinners,,
77400,SAME2,SAFL14,Salix fluviatilis auct. non Nutt.,,
58255,NOGR,,Notholaena grayi Davenport,Gray's cloak fern,Pteridaceae
71515,PUAG,,Puccinellia agrostidea T.J. Sørensen,bent alkaligrass,Poaceae
3246,AMGR5,,Ambrosia grayi (A. Nelson) Shinners,woollyleaf bur ragweed,Asteraceae
52577,LYVE6,,Lysimachia venosa (Wawra) H. St. John,veined yellow loosestrife,Primulaceae
20894,CLSQ60,,Cladonia squamosa (Scop.) Hoffm.,cup lichen,Cladoniaceae
88159,TRCO19,,Triglochin concinna Burtt Davy,slender arrowgrass,Juncaginaceae
24530,CYAL4,,Cyrtandra ×alnea H. St. John (pro sp.),cyrtandra,Gesneriaceae
41148,HEPPI,,Heppia Nageli,heppia lichen,Heppiaceae
37541,GAMEA,GAMEA3,Galium mexicanum Kunth var. asperrimum (A. Gray) Higgins & S.L. Welsh,,
80482,SESPP,SESPP4,Sedum spathulifolium Hook. var. pruinosum (Britton) B. Boivin,,
44954,JAMU2,,Jasminum multiflorum (Burm. f.) Andrews,star jasmine,Oleaceae
49076,LICO15,,Lichina confinis (O.F. Müll.) C. Agardh,seaweed lichen,Lichinaceae
59869,ORBU,PHTU5,Phelipaea tuberosa A. Gray,,
28582,DIUN7,,Dicranodontium uncinatum (Harv.) A. Jaeger,dicranodontium moss,Dicranaceae
66541,PISA,,Pimpinella saxifraga L.,solidstem burnet saxifrage,Apiaceae
67501,PLSC70,CASC32,Calliergonella schreberi (Brid.) Grout,,
63675,PESC2,,Penstemon scapoides D.D. Keck,pinyon beardtongue,Scrophulariaceae
29837,DYLIL,DILI6,Dipteracanthus linearis Torr. & A. Gray,,
76458,SABO2,SAPS5,Salix pseudomyrsinites auct. non Andersson,,
56125,MIRO4,ARROD,Arenaria rossii R. Br. ex Richardson var. daethiana Polunin,,
70158,PREME,PREMC,Prunus emarginata (Douglas ex Hook.) D. Dietr. var. crenulata (Greene) Kearney & Peebles,,
43450,HYSP70,HYSPA,Hylocomium splendens (Hedw.) Schimp. var. alaskanum (Lesq. & James) Limpr.,,
10219,BESA,,Betula ×sandbergii Britton,Sandberg birch,Betulaceae
28435,DISE9,,Dicliptera sexangularis (L.) Juss.,sixangle foldwing,Acanthaceae
60468,OXCU2,,Oxycaryum cubense (Poepp. & Kunth) Lye,Cuban bulrush,Cyperaceae
61693,PAPS5,,Packera pseudaurea (Rydb.) W.A. Weber & Á. Löve,falsegold groundsel,Asteraceae
70556,PRVIM,,Prunus virginiana L. var. melanocarpa (A. Nelson) Sarg.,black chokecherry,Rosaceae
92814,ZAAM,,Zanthoxylum americanum Mill.,common pricklyash,Rutaceae
48837,LEWE,,Lecanora weberi B.D. Ryan,Weber's rim lichen,Lecanoraceae
13879,CAEXE,,Castilleja exserta (A. Heller) T.I. Chuang & Heckard ssp. exserta,exserted Indian paintbrush,Scrophulariaceae
57496,NAIN3,,Nashia inaguensis Millsp.,el tuque,Verbenaceae
45731,KEBRG,,Keckiella breviflora (Lindl.) Straw ssp. glabrisepala (D.D. Keck) Straw,bush beardtongue,Scrophulariaceae
63203,PEMEM2,,Pediomelum megalanthum (Wooton & Standl.) Rydb. var. megalanthum,Intermountain Indian breadroot,Fabaceae
36241,FIOB2,,Fissidens obtusifolius Wilson,obtuseleaf fissidens moss,Fissidentaceae
51135,LUARL5,LUCL,Lupinus clarkensis C.P. Sm.,,
78847,SCHEU,,Scheuchzeria L.,rannoch-rush,Scheuchzeriaceae
9,ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Pinaceae
86168,TEOA,TELYC,Tetraplasandra lydgatei (Hillebr.) Harms var. coriacea Sherff,,
44037,IPLI2,,Ipomoea littoralis Blume,whiteflower beach morning-glory,Convolvulaceae
71817,PYCO12,ANCO33,Anthracothecium corticatum Müll. Arg.,,
48173,LEPA49,ELPA13,Elymus paboanus Claus,,
81031,SIINE,,Silene involucrata (Cham. & Schltdl.) Bocquet ssp. elatior (Regel) Bocquet,arctic catchfly,Caryophyllaceae
82911,SPJU3,,Sphagnum junghuhnianum Dozy & Molk.,Junghuhn's sphagnum,Sphagnaceae
25364,CYNOD,,Cynodon Rich.,Bermudagrass,Poaceae
16716,CAVA2,,Carex vaginata Tausch,sheathed sedge,Cyperaceae
61721,PAPU5,PAPUG,Paspalum pubiflorum Rupr. ex Fourn. var. glabrum Vasey ex Scribn.,,
43490,HYTE9,,Hylotelephium telephioides (Michx.) H. Ohba,Allegheny stonecrop,Crassulaceae
86762,THINI,THLI6,Thelypodium lilacinum Greene,,
43845,INTSI,,Intsia Thouars,,Fabaceae
89514,TURNE,,Turnera L.,turnera,Turneraceae
46947,LEAT62,,Lecidea atrobrunnea (Raymond ex Lam. & DC.) Schaerer,lecidea lichen,Lecideaceae
89057,TRPO2,,Trianthema portulacastrum L.,desert horsepurslane,Aizoaceae
4723,ANUR,POUR,Polytaenium urbanii (Brause) Alain,,
61580,PAOR5,PAPS10,Papaver pseudo-orientale (Fedde) Medw.,,
16003,CARUL,,Castilleja rubicundula (Jeps.) T.I. Chuang & Heckard ssp. lithospermoides (Benth.) T.I. Chuang & Heckard,cream sacs,Scrophulariaceae
11617,BRIGH,,Brighamia A. Gray,brighamia,Campanulaceae
20765,CLPO60,,Cladonia pocillum (Ach.) Grognot,cup lichen,Cladoniaceae
77567,SANI,SANIL3,Salix nigra Marshall var. longifolia Andersson,,
10774,BODA2,BUDA,Buchloe dactyloides (Nutt.) Engelm.,,
51246,LUBIT6,LUTR4,Lupinus trifidus Torr. ex S. Watson,,
780,ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schwerin,,
44796,IVLYM,,Ivesia lycopodioides A. Gray ssp. megalopetala (Rydb.) D.D. Keck,clubmoss mousetail,Rosaceae
47809,LELI14,LILI2,Linanthus liniflorus (Benth.) Greene,,
11086,BOSP3,ANSP5,Andropogon springfieldii Gould,,
